ft_print_combn.c: Error!
Error: INVALID_HEADER       (line:   1, col:   1):	Missing or invalid 42 header
Error: PREPROC_NO_SPACE     (line:   1, col:   9):	Missing space after preprocessor directive
Error: PREPROC_NO_SPACE     (line:   2, col:   9):	Missing space after preprocessor directive
Error: SPACE_BEFORE_FUNC    (line:   8, col:   5):	space before function name
Error: SPC_AFTER_OPERATOR   (line:   8, col:  32):	missing space after operator
Error: SPACE_AFTER_KW       (line:  10, col:   5):	Missing space after keyword
Error: SPC_BFR_PAR          (line:  10, col:   7):	Missing space before parenthesis (brace/bracket)
Error: SPC_AFTER_OPERATOR   (line:  10, col:  13):	missing space after operator
Error: SPC_BFR_OPERATOR     (line:  10, col:  13):	missing space before operator
Error: MIXED_SPACE_TAB      (line:  10, col:  29):	Mixed spaces and tabs
Error: TAB_INSTEAD_SPC      (line:  10, col:  30):	Found tab when expecting space
Error: WRONG_SCOPE_COMMENT  (line:  10, col:  41):	Comment is invalid in this scope
Error: WRONG_SCOPE_COMMENT  (line:  10, col:  41):	Comment is invalid in this scope
Error: WRONG_SCOPE_VAR      (line:  12, col:   1):	Variable declared in incorrect scope
Error: SPACE_REPLACE_TAB    (line:  12, col:  12):	Found space when expecting tab
Error: DECL_ASSIGN_LINE     (line:  12, col:  14):	Declaration and assignation on a single line
Error: SPC_AFTER_OPERATOR   (line:  12, col:  14):	missing space after operator
Error: SPC_BFR_OPERATOR     (line:  12, col:  14):	missing space before operator
Error: SPACE_AFTER_KW       (line:  13, col:   9):	Missing space after keyword
Error: SPC_BFR_PAR          (line:  13, col:  14):	Missing space before parenthesis (brace/bracket)
Error: SPC_AFTER_OPERATOR   (line:  13, col:  16):	missing space after operator
Error: SPC_BFR_OPERATOR     (line:  13, col:  16):	missing space before operator
Error: CONSECUTIVE_SPC      (line:  13, col:  31):	Two or more consecutives spaces
Error: LINE_TOO_LONG        (line:  13, col:  45):	line too long
Error: WRONG_SCOPE_COMMENT  (line:  13, col:  45):	Comment is invalid in this scope
Error: WRONG_SCOPE_COMMENT  (line:  13, col:  45):	Comment is invalid in this scope
Error: LINE_TOO_LONG        (line:  13, col:  90):	line too long
Error: WRONG_SCOPE_VAR      (line:  15, col:   1):	Variable declared in incorrect scope
Error: SPACE_REPLACE_TAB    (line:  15, col:  17):	Found space when expecting tab
Error: DECL_ASSIGN_LINE     (line:  15, col:  24):	Declaration and assignation on a single line
Error: SPC_AFTER_OPERATOR   (line:  15, col:  24):	missing space after operator
Error: SPC_BFR_OPERATOR     (line:  15, col:  24):	missing space before operator
